cluster,ALTA,DESCONHECIDO,OBITO,OUTRO,TRANSFERENCIA,pct_ALTA,pct_DESCONHECIDO,pct_OBITO,pct_OUTRO,pct_TRANSFERENCIA
0,1,0,9,0,0,0.1,0.0,0.9,0.0,0.0
1,1,0,73,1,2,0.012987012987012988,0.0,0.948051948051948,0.012987012987012988,0.025974025974025976
2,1,0,45,0,2,0.020833333333333332,0.0,0.9375,0.0,0.041666666666666664
3,18,1,39,1,11,0.2571428571428571,0.014285714285714285,0.5571428571428572,0.014285714285714285,0.15714285714285714
